pic_id,response,n,i,j,data_id,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,target
2,15,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,16,2,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,17,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,18,0,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,19,1.5,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
2,20,9.5,1,2,1,3,turk16-color,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/1d3209ce4a706ee3974d0f032c320c74.svg,turk16,112,set-1-k-3-sdline-0.25-sdgroup-0.25,TRUE
3,1,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,2,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,3,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,4,5,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,5,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,6,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,7,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
3,8,0,1,3,1,3,turk16-shape,k-3-sdline-0.25-sdgroup-0.25,line-0.87002-cluster-0.91041,"20, 11, 16",Images/Lineups/svgs/da6cd1abdc6284388efcbe1e41751651.svg,turk16,113,set-1-k-3-sdline-0.25-sdgroup-0.25,FALSE
