study,test_param,pic_id,pic_name,obs_plot_location,response_no,n
turk4,euc,258,euc_line10_2_270_6.png,6,18,0
turk4,euc,258,euc_line10_2_270_6.png,6,19,0
turk4,euc,258,euc_line10_2_270_6.png,6,20,0
turk4,euc,259,euc_line10_2_90_14.png,14,1,0
turk4,euc,259,euc_line10_2_90_14.png,14,2,1
turk4,euc,259,euc_line10_2_90_14.png,14,3,0
turk4,euc,259,euc_line10_2_90_14.png,14,4,0
turk4,euc,259,euc_line10_2_90_14.png,14,5,0
turk4,euc,259,euc_line10_2_90_14.png,14,6,0
turk4,euc,259,euc_line10_2_90_14.png,14,7,0
turk4,euc,259,euc_line10_2_90_14.png,14,8,0
turk4,euc,259,euc_line10_2_90_14.png,14,9,0
turk4,euc,259,euc_line10_2_90_14.png,14,10,0
turk4,euc,259,euc_line10_2_90_14.png,14,11,0
turk4,euc,259,euc_line10_2_90_14.png,14,12,0
turk4,euc,259,euc_line10_2_90_14.png,14,13,0
turk4,euc,259,euc_line10_2_90_14.png,14,14,6
turk4,euc,259,euc_line10_2_90_14.png,14,15,0
turk4,euc,259,euc_line10_2_90_14.png,14,16,0
turk4,euc,259,euc_line10_2_90_14.png,14,17,0
turk4,euc,259,euc_line10_2_90_14.png,14,18,0
turk4,euc,259,euc_line10_2_90_14.png,14,19,0
turk4,euc,259,euc_line10_2_90_14.png,14,20,0
turk4,euc,260,euc_line2_1_0_13.png,13,1,1
turk4,euc,260,euc_line2_1_0_13.png,13,2,0
turk4,euc,260,euc_line2_1_0_13.png,13,3,0
turk4,euc,260,euc_line2_1_0_13.png,13,4,0
turk4,euc,260,euc_line2_1_0_13.png,13,5,1
turk4,euc,260,euc_line2_1_0_13.png,13,6,4
turk4,euc,260,euc_line2_1_0_13.png,13,7,0
turk4,euc,260,euc_line2_1_0_13.png,13,8,0
turk4,euc,260,euc_line2_1_0_13.png,13,9,0
turk4,euc,260,euc_line2_1_0_13.png,13,10,0
turk4,euc,260,euc_line2_1_0_13.png,13,11,1
turk4,euc,260,euc_line2_1_0_13.png,13,12,0
turk4,euc,260,euc_line2_1_0_13.png,13,13,3
turk4,euc,260,euc_line2_1_0_13.png,13,14,0
turk4,euc,260,euc_line2_1_0_13.png,13,15,1
