"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
276,"50","turk10-Control-Outer-Single-rep2","50-10",NA,"10","images/filebab67bea8cd6-single.svg","turk10",23,"data-1-2-23-50-10-8-10.csv"
277,"75","turk10-Standard-Inner-Multiple-rep2","75-10",NA,"7","images/filebab66b0ce3b1-multiple.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
278,"75","turk10-Standard-Inner-Single-rep2","75-10",NA,"7","images/filebab66b0ce3b1-single.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
279,"75","turk10-Standard-Outer-Multiple-rep2","75-10",NA,"6","images/filebab61b38b05f-multiple.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
280,"75","turk10-Standard-Outer-Single-rep2","75-10",NA,"6","images/filebab61b38b05f-single.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
281,"75","turk10-Rotated-Inner-Multiple-rep2","75-10",NA,"7","images/filebab663c47528-multiple.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
282,"75","turk10-Rotated-Inner-Single-rep2","75-10",NA,"7","images/filebab663c47528-single.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
283,"75","turk10-Rotated-Outer-Single-rep2","75-10",NA,"6","images/filebab676e7c843-single.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
284,"75","turk10-Rotated-Outer-Multiple-rep2","75-10",NA,"6","images/filebab676e7c843-multiple.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
285,"75","turk10-Control-Inner-Single-rep2","75-10",NA,"7","images/filebab626c33aef-single.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
286,"75","turk10-Control-Inner-Multiple-rep2","75-10",NA,"7","images/filebab626c33aef-multiple.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
287,"75","turk10-Control-Outer-Multiple-rep2","75-10",NA,"6","images/filebab65b5234ca-multiple.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
288,"75","turk10-Control-Outer-Single-rep2","75-10",NA,"6","images/filebab65b5234ca-single.svg","turk10",24,"data-1-2-24-75-10-7-6.csv"
289,"20","turk10-Standard-Inner-Multiple-rep1","20-2",NA,"9","images/filebab6658d29aa-multiple.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
290,"20","turk10-Standard-Inner-Single-rep1","20-2",NA,"9","images/filebab6658d29aa-single.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
291,"20","turk10-Standard-Outer-Multiple-rep1","20-2",NA,"18","images/filebab616aa8bfc-multiple.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
292,"20","turk10-Standard-Outer-Single-rep1","20-2",NA,"18","images/filebab616aa8bfc-single.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
293,"20","turk10-Rotated-Inner-Multiple-rep1","20-2",NA,"9","images/filebab67207e89c-multiple.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
294,"20","turk10-Rotated-Inner-Single-rep1","20-2",NA,"9","images/filebab67207e89c-single.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
295,"20","turk10-Rotated-Outer-Single-rep1","20-2",NA,"18","images/filebab665389440-single.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
296,"20","turk10-Rotated-Outer-Multiple-rep1","20-2",NA,"18","images/filebab665389440-multiple.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
297,"20","turk10-Control-Inner-Single-rep1","20-2",NA,"9","images/filebab616cc5904-single.svg","turk10",25,"data-2-1-1-20-2-9-18.csv"
